120	1.9866539974	503.784567107	2705.934247417	1.5278150478	7.1290908569	0.0010603266	0.8913039522
130	2.7025960656	546.3878367749	2720.0878257369	1.6346312703	7.0264078298	0.0010697113	0.6680844514
140	3.6150096198	589.2002596436	2733.4439437081	1.739289066	6.9292723061	0.0010797596	0.5085191744
150	4.7610138108	632.2515601107	2745.9191425853	1.8419520428	6.8370333416	0.0010905047	0.3925024138
160	6.1813919672	675.5746798636	2757.4305309693	1.9427785229	6.7491038453	0.0011019885	0.3068184475
170	7.9205318369	719.2063979309	2767.8936550359	2.041923368	6.6649484232	0.0011142624	0.2426157955
180	10.0263456881	763.1879981829	2777.2194106819	2.1395396975	6.5840707717	0.001127389	0.1938616052
190	12.5501792086	807.5660111798	2785.3110035082	2.23578057	6.5060028407	0.0011414429	0.1563767894
200	15.5467186827	852.3930680834	2792.0615640123	2.3308007061	6.430296772	0.0011565139	0.1272223214
210	19.0739066433	897.7289197645	2797.3523490814	2.4247583526	6.3565190579	0.0011727089	0.1043019481
220	23.1928772773	943.6416987006	2801.051000399	2.5178174199	6.2842455211	0.0011901563	0.0861007204
230	27.9679245577	990.2095414473	2803.0092956133	2.6101500866	6.2130558601	0.0012090108	0.0715102348
240	33.4665187151	1037.5227548257	2803.0599721382	2.7019401597	6.1425269673	0.0012294605	0.0597101233
250	39.7593907084	1085.6868126801	2801.0120704016	2.7933876369	6.0722241011	0.0012517369	0.050086565
260	46.9207105436	1134.8266316172	2796.6436363951	2.8847151531	6.0016880237	0.001276129	0.0421754868
270	55.0283947409	1185.0928237803	2789.6898612305	2.9761773555	5.9304151362	0.0013030052	0.0356224479
280	64.1645928168	1236.6710007035	2779.8244623369	3.0680747776	5.8578276097	0.0013328453	0.0301539651
290	74.4164254362	1289.7957210967	2766.6326458614	3.1607744802	5.7832318823	0.0013662912	0.0255568267
300	85.8770832956	1344.7713390197	2749.573742544	3.2547405505	5.7057636168	0.001404223	0.0216630647
320	112.8385588655	1462.0510091193	2700.6676873413	3.4491160973	5.5373194499	0.0014990631	0.015475927
340	146.0018105681	1594.4465698708	2622.0667476473	3.6599493787	5.3359115648	0.0016375137	0.0107838325
360	186.6637110275	1761.4917585529	2481	3.916357556	5.0526	0.0018945141	0.006945
374.14	220.9	2099.3	2099.3	4.4298	4.4298	0.003155	0.003155
